datetime,atm_id,operation_value
2017-08-16,74,2.0592656216
2017-08-17,74,1.0296328108
2017-08-18,74,0.6864218738666666
2017-08-19,74,33.301266910100004
2017-08-20,74,-12.2379214088
2017-08-21,74,3.853768520483334
2017-08-22,74,3.3032301604142864
2017-08-23,74,2.8903263903625005
2017-08-24,74,2.2946102636
2017-08-25,74,182.30384367649998
2017-08-26,74,-33.389521151
2017-08-27,74,-62.60167489810001
2017-08-28,74,-79.6641614772
2017-08-29,74,-70.2503757786
2017-08-30,74,326.8054541549
2017-08-31,74,3.912604681399994
2017-09-01,74,344.9564097053
2017-09-02,74,-67.01438694420001
2017-09-03,74,-37.7433970364
2017-09-04,74,284.2080738673
2017-09-05,74,410.8529095985
2017-09-06,74,-79.31114451359998
2017-09-07,74,257.4964569468
2017-09-08,74,187.0989907666
2017-09-09,74,90.4900150309
2017-09-10,74,-57.218166201399995
2017-09-11,74,323.8342280437
2017-09-12,74,159.2694867945
2017-09-13,74,178.4206570755
2017-09-14,74,472.3072793645
2017-09-15,74,684.7352372771
2017-09-16,74,52.717199914099986
2017-09-17,74,5.412926776799993
2017-09-18,74,11.884904444800004
2017-09-19,74,128.3216663089
2017-09-20,74,351.45780545400004
2017-09-21,74,76.1045737603
2017-09-22,74,214.2812969735
2017-09-23,74,-5.059909813099999
2017-09-24,74,363.3721279793
2017-09-25,74,362.3130770883
2017-09-26,74,-65.69057333009995
2017-09-27,74,453.0384367616
2017-09-28,74,50.393171569299994
2017-09-29,74,457.2158041658
2017-09-30,74,305.1831651282
2017-10-01,74,170.5071934721
2017-10-02,74,510.3154391237
2017-10-03,74,529.2018466831
2017-10-04,74,-1.1473051313999874
2017-10-05,74,480.57375993050005
2017-10-06,74,383.1704960275
2017-10-07,74,125.20334979590001
2017-10-08,74,205.3087824786
2017-10-09,74,325.0403693358
2017-10-10,74,39.27313721250003
2017-10-11,74,394.4670388663
2017-10-12,74,288.767876315
2017-10-13,74,755.0738672964001
2017-10-14,74,50.628516212
2017-10-15,74,16.091689928900003
2017-10-16,74,554.5308138284
2017-10-17,74,572.3581704959
2017-10-18,74,389.3777109733
2017-10-19,74,339.8964998926
2017-10-20,74,414.73609619990003
2017-10-21,74,328.8941378567
2017-10-22,74,287.444062701
2017-10-23,74,271.2052823707
2017-10-24,74,551.324243075
2017-10-25,74,309.1251878897
2017-10-26,74,242.31672750720003
2017-10-27,74,249.61241142440002
2017-10-28,74,287.5028988622
2017-10-29,74,-40.655786987599996
2017-10-30,74,521.1412926782
2017-10-31,74,374.37449001560003
2017-11-01,74,-73.78054541519997
2017-11-02,74,
2017-11-03,74,1172.5164268847
2017-11-04,74,798.8773888773
2017-11-05,74,64.21966931470001
2017-11-06,74,223.077302985
2017-11-07,74,296.21065063410003
2017-11-08,74,580.6834872236
2017-11-09,74,583.6841314149
2017-11-10,74,1031.2213871597
2017-11-11,74,172.9488941383
2017-11-12,74,361.1657719562
2017-11-13,74,209.0742967575
2017-11-14,74,462.0109512567
2017-11-15,74,437.7116169213
2017-11-16,74,158.85763367
2017-11-17,74,329.2765729011
2017-11-18,74,254.5546489156
2017-11-19,74,-20.063130770999997
2017-11-20,74,443.74232338409996
2017-11-21,74,727.3620356445
2017-11-22,74,205.7206356019
2017-11-23,74,168.4479278502
2017-11-24,74,343.83852265400003
2017-11-25,74,266.3218810392
2017-11-26,74,360.4891561091
2017-11-27,74,328.8353016961
2017-11-28,74,653.4343998283
2017-11-29,74,486.457375993
2017-11-30,74,648.0803092121
2017-12-01,74,516.2873094269
2017-12-02,74,58.6008159755
2017-12-03,74,136.5587287953
2017-12-04,74,548.7942881686
2017-12-05,74,492.22331973380005
2017-12-06,74,435.0051535323
2017-12-07,74,687.6476272273
2017-12-08,74,671.0264118532001
2017-12-09,74,42.06785484190002
2017-12-10,74,337.8372342708
2017-12-11,74,713.1236847755999
2017-12-12,74,257.7023835093
2017-12-13,74,-298.2110800946
2017-12-14,74,581.036504187
2017-12-15,74,839.0624865796
2017-12-16,74,51.716985183999995
2017-12-17,74,-32.4481425817
2017-12-18,74,934.9948464672
2017-12-19,74,-302.94739102439996
2017-12-20,74,930.9351513854999
2017-12-21,74,572.5640970583
2017-12-22,74,441.44771311979997
2017-12-23,74,-234.7856989474
2017-12-24,74,198.0130985617
2017-12-25,74,373.5213656853
2017-12-26,74,827.2658363756
2017-12-27,74,1332.5507837671
2017-12-28,74,1680.6255099854
2017-12-29,74,8814.910299704034
2017-12-30,74,1220.5561520292001
2017-12-31,74,227.7841958342
2018-01-01,74,85.959630664
2018-01-02,74,28.035430534600017
2018-01-03,74,286.8851191756
2018-01-04,74,423.82628301479997
2018-01-05,74,8814.910299704034
2018-01-06,74,236.6978741679
2018-01-07,74,405.64590938370003
2018-01-08,74,238.9042301911
2018-01-09,74,658.7590723646
2018-01-10,74,682.9701524585
2018-01-11,74,749.7197766805
2018-01-12,74,475.6609405203
2018-01-13,74,175.50826712550003
2018-01-14,74,71.0446639466
2018-01-15,74,1349.1131629805
2018-01-16,74,331.24758428219997
2018-01-17,74,473.2927850549801
2018-01-18,74,980.6517071074001
2018-01-19,74,357.6650203994
2018-01-20,74,161.15224393390002
2018-01-21,74,423.5615202922
2018-01-22,74,1354.1730727941
2018-01-23,74,1176.5172858065
2018-01-24,74,130.1750053681
2018-01-25,74,627.840669959
2018-01-26,74,819.1170281293
2018-01-27,74,168.7715267341
2018-01-28,74,-313.3908095339
2018-01-29,74,680.6167060345999
2018-01-30,74,963.9128194118
2018-01-31,74,839.09190466
